Fecha,Nombre,Consumo
2023-11-29,Hidráulica,110068.11
2023-11-30,Hidráulica,133099.024
2023-12-01,Hidráulica,132241.139
2023-12-02,Hidráulica,129095.439
2023-12-03,Hidráulica,135822.682
2023-12-04,Hidráulica,143020.704
2023-12-05,Hidráulica,172412.909
2023-12-06,Hidráulica,170017.317
2023-12-07,Hidráulica,141074.413
2023-12-08,Hidráulica,95716.201
2023-12-09,Hidráulica,99096.686
2023-12-10,Hidráulica,105791.915
2023-12-11,Hidráulica,126260.933
2023-12-12,Hidráulica,138381.928
2023-12-13,Hidráulica,124378.474
2023-12-14,Hidráulica,123451.34
2023-12-15,Hidráulica,135960.734
2023-12-16,Hidráulica,137310.87
2023-12-17,Hidráulica,144805.847
2023-12-18,Hidráulica,170125.421
2023-12-19,Hidráulica,165481.878
2023-12-20,Hidráulica,109809.217
2023-12-21,Hidráulica,114696.21
2023-12-22,Hidráulica,103457.323
2023-12-23,Hidráulica,101222.284
2023-12-24,Hidráulica,124960.62
2023-12-25,Hidráulica,106020.668
2023-12-26,Hidráulica,140338.047
2023-12-27,Hidráulica,142531.297
2023-12-28,Hidráulica,138079.726
2023-12-29,Hidráulica,149307.603
2023-12-30,Hidráulica,92836.011
2023-12-31,Hidráulica,70373.911
2023-01-05,Nuclear,169859.286
2023-01-06,Nuclear,169840.35
2023-01-07,Nuclear,136141.194
2023-01-08,Nuclear,119629.148
2023-01-09,Nuclear,149044.166
2023-01-10,Nuclear,169479.445
2023-01-11,Nuclear,169679.709
2023-01-12,Nuclear,169676.923
2023-01-13,Nuclear,169690.963
2023-01-14,Nuclear,169779.379
2023-01-15,Nuclear,169471.037
2023-01-16,Nuclear,151789.104
2023-01-17,Nuclear,151427.463
2023-01-18,Nuclear,153971.56
2023-01-19,Nuclear,169517.736
2023-01-20,Nuclear,169906.04
2023-01-21,Nuclear,170194.031
2023-01-22,Nuclear,170130.441
2023-01-23,Nuclear,170180.516
2023-01-24,Nuclear,170069.562
2023-01-25,Nuclear,170087.794
2023-01-26,Nuclear,170060.867
2023-01-27,Nuclear,170108.286
2023-01-28,Nuclear,170111.057
2023-01-29,Nuclear,170126.782
2023-01-30,Nuclear,170094.898
2023-01-31,Nuclear,170131.417
2023-02-01,Nuclear,169944.683
2023-02-02,Nuclear,170085.845
2023-02-03,Nuclear,170238.403
2023-02-04,Nuclear,170308.159
2023-02-05,Nuclear,170232.323
2023-02-06,Nuclear,170233.945
2023-02-07,Nuclear,170300.899
2023-02-08,Nuclear,170252.109
2023-02-09,Nuclear,170248.544
2023-02-10,Nuclear,170328.293
2023-02-11,Nuclear,170369.894
2023-02-12,Nuclear,161529.269
2023-02-13,Nuclear,169341.248
2023-02-14,Nuclear,170269.313
2023-02-15,Nuclear,170276.6
2023-02-16,Nuclear,170372.143
2023-02-17,Nuclear,170409.227
2023-02-18,Nuclear,164524.622
2023-02-19,Nuclear,170180.492
2023-02-20,Nuclear,170204.162
2023-02-21,Nuclear,170117.619
2023-02-22,Nuclear,161923.819
2023-02-23,Nuclear,145993.463
2023-02-24,Nuclear,146058.008
2023-02-25,Nuclear,146104.394
2023-02-26,Nuclear,146082.892
2023-02-27,Nuclear,146032.302
2023-02-28,Nuclear,145997.046
2023-03-01,Nuclear,145983.932
2023-03-02,Nuclear,145932.687
2023-03-03,Nuclear,145980.553
2023-03-04,Nuclear,152824.939
2023-03-05,Nuclear,168523.756
2023-03-06,Nuclear,169916.214
2023-03-07,Nuclear,170008.036
2023-03-08,Nuclear,169725.796
2023-03-09,Nuclear,169645.598
2023-03-10,Nuclear,169636.023
2023-03-11,Nuclear,167647.286
2023-03-12,Nuclear,169442.26
2023-03-13,Nuclear,169802.316
2023-03-14,Nuclear,169949.382
2023-03-15,Nuclear,162539.297
2023-03-16,Nuclear,168914.436
2023-03-17,Nuclear,169340.395
2023-03-18,Nuclear,169567.933
2023-03-19,Nuclear,169585.412
2023-03-20,Nuclear,169480.197
2023-03-21,Nuclear,169282.69
2023-03-22,Nuclear,169329.332
2023-03-23,Nuclear,169100.069
2023-03-24,Nuclear,168983.948
2023-03-25,Nuclear,168565.795
2023-03-26,Nuclear,154143.184
2023-03-27,Nuclear,166832.685
2023-03-28,Nuclear,169165.41
2023-03-29,Nuclear,169124.413
2023-03-30,Nuclear,168454.359
2023-03-31,Nuclear,134862.735
2023-04-01,Nuclear,134466.678
2023-04-02,Nuclear,136921.533
2023-04-03,Nuclear,166378.03
2023-04-04,Nuclear,168991.421
2023-04-05,Nuclear,169039.573
2023-04-06,Nuclear,168988.084
2023-04-07,Nuclear,167805.602
2023-04-08,Nuclear,168697.204
2023-04-09,Nuclear,167519.801
2023-04-10,Nuclear,168201.493
2023-04-11,Nuclear,168161.216
2023-04-12,Nuclear,168038.552
2023-04-13,Nuclear,166979.548
2023-04-14,Nuclear,167946.006
2023-04-15,Nuclear,166498.032
2023-04-16,Nuclear,163294.961
2023-04-17,Nuclear,144112.885
2023-04-18,Nuclear,144174.685
2023-04-19,Nuclear,144286.979
2023-04-20,Nuclear,144203.974
2023-04-21,Nuclear,144046.388
2023-04-22,Nuclear,144004.226
2023-04-23,Nuclear,142941.437
2023-04-24,Nuclear,143911.607
2023-04-25,Nuclear,143327.954
2023-04-26,Nuclear,136520.96
2023-04-27,Nuclear,140502.772
2023-04-28,Nuclear,135323.538
2023-04-29,Nuclear,120817.992
2023-04-30,Nuclear,121165.925
2023-05-01,Nuclear,120470.99
2023-05-02,Nuclear,121420.83
2023-05-03,Nuclear,121464.249
2023-05-04,Nuclear,121330.525
2023-05-05,Nuclear,121319.774
2023-05-06,Nuclear,121282.756
2023-05-07,Nuclear,121462.534
2023-05-08,Nuclear,121453.351
2023-05-09,Nuclear,121351.199
2023-05-10,Nuclear,121580.529
2023-05-11,Nuclear,121624.561
2023-05-12,Nuclear,121515.682
2023-05-13,Nuclear,115029.818
2023-05-14,Nuclear,121435.908
2023-05-15,Nuclear,121485.045
2023-05-16,Nuclear,96982.992
2023-05-17,Nuclear,106044.239
2023-05-18,Nuclear,117613.57
2023-05-19,Nuclear,119930.95
2023-05-20,Nuclear,120546.302
2023-05-21,Nuclear,125878.255
2023-05-22,Nuclear,133128.459
2023-05-23,Nuclear,138698.926
2023-05-24,Nuclear,119531.345
2023-05-25,Nuclear,120755.341
2023-05-26,Nuclear,121561.354
2023-05-27,Nuclear,121566.568
2023-05-28,Nuclear,121524.555
2023-05-29,Nuclear,121483.701
2023-05-30,Nuclear,121398.005
2023-05-31,Nuclear,120896.078
2023-06-01,Nuclear,121241.852
2023-06-02,Nuclear,121188.778
2023-06-03,Nuclear,121114.593
2023-06-04,Nuclear,120981.212
2023-06-05,Nuclear,121026.317
2023-06-06,Nuclear,121100.32
2023-06-07,Nuclear,121087.271
2023-06-08,Nuclear,120781.131
2023-06-09,Nuclear,120258.297
2023-06-10,Nuclear,118589.195
2023-06-11,Nuclear,120008.249
2023-06-12,Nuclear,119941.789
2023-06-13,Nuclear,119863.872
2023-06-14,Nuclear,119990.385
2023-06-15,Nuclear,119741.816
2023-06-16,Nuclear,123549.603
2023-06-17,Nuclear,126318.427
2023-06-18,Nuclear,135202.703
2023-06-19,Nuclear,141625.072
2023-06-20,Nuclear,141725.333
2023-06-21,Nuclear,136554.481
2023-06-22,Nuclear,118115.288
2023-06-23,Nuclear,131671.016
2023-06-24,Nuclear,161406.102
2023-06-25,Nuclear,164640.49
2023-06-26,Nuclear,162714.091
2023-06-27,Nuclear,163185.061
2023-06-28,Nuclear,164391.431
2023-06-29,Nuclear,164994.215
2023-06-30,Nuclear,165712.736
2023-07-01,Nuclear,166091.234
2023-07-02,Nuclear,163537.278
2023-07-03,Nuclear,165240.915
2023-07-04,Nuclear,165391.724
2023-07-05,Nuclear,165719.285
2023-07-06,Nuclear,165661.308
2023-07-07,Nuclear,165791.555
2023-07-08,Nuclear,165802.766
2023-07-09,Nuclear,165389.799
2023-07-10,Nuclear,165367.499
2023-07-11,Nuclear,164853.342
2023-07-12,Nuclear,165844.718
2023-07-13,Nuclear,165759.923
2023-07-14,Nuclear,165624.319
2023-07-15,Nuclear,165576.375
2023-07-16,Nuclear,165936.894
2023-07-17,Nuclear,165228.064
2023-07-18,Nuclear,164567.186
2023-07-19,Nuclear,164834.11
2023-07-20,Nuclear,164947.425
2023-07-21,Nuclear,165511.668
2023-07-22,Nuclear,162730.551
2023-07-23,Nuclear,164918.67
2023-07-24,Nuclear,165598.009
2023-07-25,Nuclear,166346.38
2023-07-26,Nuclear,166349.46
2023-07-27,Nuclear,165781.893
2023-07-28,Nuclear,165831.226
2023-07-29,Nuclear,165283.326
2023-07-30,Nuclear,163174.548
2023-07-31,Nuclear,164442.465
2023-08-01,Nuclear,164792.957
2023-08-02,Nuclear,164734.863
2023-08-03,Nuclear,165130.41
2023-08-04,Nuclear,166450.781
2023-08-05,Nuclear,166693.954
2023-08-06,Nuclear,163783.054
2023-08-07,Nuclear,164859.006
2023-08-08,Nuclear,163463.202
2023-08-09,Nuclear,162433.002
2023-08-10,Nuclear,159799.788
2023-08-11,Nuclear,162703.566
2023-08-12,Nuclear,163178.184
2023-08-13,Nuclear,152806.81
2023-08-14,Nuclear,142003.825
2023-08-15,Nuclear,160253.5
2023-08-16,Nuclear,162804.98
2023-08-17,Nuclear,162787.95
2023-08-18,Nuclear,160447.406
2023-08-19,Nuclear,160968.28
2023-08-20,Nuclear,160984.289
2023-08-21,Nuclear,161231.125
2023-08-22,Nuclear,161324.811
2023-08-23,Nuclear,160576.554
2023-08-24,Nuclear,159578.494
2023-08-25,Nuclear,157323.844
2023-08-26,Nuclear,159816.234
2023-08-27,Nuclear,160264.019
2023-08-28,Nuclear,164366.536
2023-08-29,Nuclear,164239.953
2023-08-30,Nuclear,164293.422
2023-08-31,Nuclear,164179.748
2023-09-01,Nuclear,156851.092
2023-09-02,Nuclear,140614.573
2023-09-03,Nuclear,149024.695
2023-09-04,Nuclear,160509.454
2023-09-05,Nuclear,157707.494
2023-09-06,Nuclear,163134.016
2023-09-07,Nuclear,163139.943
2023-09-08,Nuclear,163231.062
2023-09-09,Nuclear,162557.189
2023-09-10,Nuclear,163778.663
2023-09-11,Nuclear,163514.484
2023-09-12,Nuclear,163486.687
2023-09-13,Nuclear,163605.227
2023-09-14,Nuclear,162714.088
2023-09-15,Nuclear,163691.166
2023-09-16,Nuclear,163837.034
2023-09-17,Nuclear,161560.003
2023-09-18,Nuclear,163891.9
2023-09-19,Nuclear,164125.743
2023-09-20,Nuclear,144409.722
